date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:38	16792/16792	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Aug%202021%2016:22:37%20GMT	https://portfolio-7e8b59.webflow.io/plants-paradise	C:/My%20Web%20Sites/plants%20paradise/portfolio-7e8b59.webflow.io/plants-paradise.html	(from )
17:22:38	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2006%20Aug%202021%2016:22:38%20GMT	https://portfolio-7e8b59.webflow.io/robots.txt		(from )
17:22:39	77819/77819	---M-Z	200	added ('OK')	text/css	etag:%226b97fed2e6818ad3c43b6975cb42626e%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/css/portfolio-7e8b59.webflow.d28cad5f5.css	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/css/portfolio-7e8b59.webflow.d28cad5f5.css	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:40	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/plants%20paradise/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:40	4783/4783	---M--	200	added ('OK')	image/png	etag:%2289b215828a682a244e0a8b03fb0b69ca%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c3eb94db1ab2a0694ccba_Favicon.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c3eb94db1ab2a0694ccba_Favicon.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:40	8501/8501	---M--	200	added ('OK')	image/png	etag:%22fb6e47b54cbfe41bc492456ccaa288fb%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c3e7986be98cdb0e0cd41_webclip.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c3e7986be98cdb0e0cd41_webclip.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:41	8291/8291	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Aug%202021%2016:22:40%20GMT	https://portfolio-7e8b59.webflow.io/	C:/My%20Web%20Sites/plants%20paradise/portfolio-7e8b59.webflow.io/index.html	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:41	14145/14145	---M--	200	added ('OK')	image/png	etag:%22949c7c66fa38b564829356df991241ba%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610071e9b605fd684334ad94_Artboard%201.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610071e9b605fd684334ad94_Artboard%201.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:41	11689/11689	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Aug%202021%2016:22:41%20GMT	https://portfolio-7e8b59.webflow.io/about	C:/My%20Web%20Sites/plants%20paradise/portfolio-7e8b59.webflow.io/about.html	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:41	6303/6303	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Aug%202021%2016:22:41%20GMT	https://portfolio-7e8b59.webflow.io/contact	C:/My%20Web%20Sites/plants%20paradise/portfolio-7e8b59.webflow.io/contact.html	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:42	6148/6148	---M--	200	added ('OK')	image/png	etag:%22ee9ba823fc94136704be27d0d12ce08b%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c082b36de5f3083f90bde_610a94e256e4ca121d937ae4_Close%20copy.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610c082b36de5f3083f90bde_610a94e256e4ca121d937ae4_Close%20copy.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:43	28748/28748	---M--	200	added ('OK')	image/png	etag:%22549477c1ed1b9237579d0acc791d05b2%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610aafec9200a46ac9e97956_33.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610aafec9200a46ac9e97956_33.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:44	586533/586533	---M--	200	added ('OK')	image/png	etag:%22ccf6ca6e68d6932a24a40b63390f24cc%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610aaf8d54862fb73c6fe5e4_22.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610aaf8d54862fb73c6fe5e4_22.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
17:22:46	38271/38271	---M--	200	added ('OK')	image/png	etag:%22975e8a63f5ca5169a9f4aab058ddbe35%22	https://uploads-ssl.webflow.com/6100599524f4083641e1b61d/610ab02751e050597483ac5c_66.png	C:/My%20Web%20Sites/plants%20paradise/uploads-ssl.webflow.com/6100599524f4083641e1b61d/610ab02751e050597483ac5c_66.png	(from https://portfolio-7e8b59.webflow.io/plants-paradise)
